address,block_date,project,blockchain,transaction_type,loan_type,symbol,daily_count,daily_volume_usd
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-20,aave,ethereum,repay,,LINK,1,-169609.81
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-20,aave,ethereum,borrow,variable,USDT,6,4828144.12
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-20,aave,ethereum,borrow,variable,tBTC,1,85308.8
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-20,aave,ethereum,borrow,variable,cbETH,2,39115.07
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-19,aave,ethereum,repay,,tBTC,2,-180899.82
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-19,aave,ethereum,repay,,USDS,1,-42572.33
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-19,aave,ethereum,borrow,variable,crvUSD,4,99671.67
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-19,aave,ethereum,repay,,crvUSD,4,-99671.67
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-19,aave,ethereum,repay,,USDC,20,-23235855.2
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-19,aave,ethereum,repay,,cbETH,1,-70212.15
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-19,aave,ethereum,borrow,variable,USDT,6,3824234.23
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-19,aave,ethereum,borrow,variable,GHO,3,3325176.41
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-19,aave,ethereum,borrow,variable,tBTC,2,180899.82
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-19,aave,ethereum,borrow,variable,cbETH,1,70212.15
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-19,aave,ethereum,repay,,wstETH,1,-51279.54
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-19,aave,ethereum,borrow,variable,USDC,20,23235855.2
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-19,aave,ethereum,borrow,variable,USDS,1,42572.33
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-19,aave,ethereum,repay,,USDT,6,-3824234.23
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-19,aave,ethereum,repay,,GHO,3,-3325176.41
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-19,aave,ethereum,borrow,variable,wstETH,1,51279.54
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-18,aave,ethereum,repay,,USDT,11,-17152385.53
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-18,aave,ethereum,borrow,variable,crvUSD,3,23494.76
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-18,aave,ethereum,repay,,USDC,8,-9203172.33
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-18,aave,ethereum,borrow,variable,cbETH,1,17215.99
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-18,aave,ethereum,borrow,variable,GHO,1,2228498.19
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-18,aave,ethereum,repay,,USDe,1,-52451.09
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-18,aave,ethereum,borrow,variable,osETH,1,2542.27
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-18,aave,ethereum,borrow,variable,USDe,1,52451.09
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-18,aave,ethereum,borrow,variable,USDC,8,9203172.33
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-18,aave,ethereum,repay,,crvUSD,3,-23494.76
